category,audience,resource_name,provider,url,cost_type,certificate_available,certificate_free,skill_level,format,topics,best_for,uk_relevance,affiliate_available,affiliate_platform,affiliate_terms,credibility_score,notes,source_refs
"AI for Beginners","All non-technical professionals, managers","AI for Everyone","DeepLearning.AI / Coursera","https://www.coursera.org/learn/ai-for-everyone","free_audit_paid_certificate",True,False,"beginner","course","AI fundamentals; business strategy; AI limitations; AI applications","Non-technical professionals wanting a strategic overview of AI","high",True,"Coursera","Up to 45% commission, 30-day cookie",10,"Andrew Ng landmark course; 1M+ learners; certificate ~$49; full content accessible on free audit","1; 4; 144; 149; 155"
"AI for Beginners","All industries, productivity and admin workers","Google AI Essentials","Google","https://grow.google/ai-essentials/","free",True,True,"beginner","course","AI fundamentals; productivity; responsible AI; practical AI tools","Anyone wanting practical AI skills for everyday work with a shareable Google certificate","high",False,"","",10,"Certificate is genuinely free; 86% of graduates report improved productivity; confirm on provider page as offer may evolve","22; 25"
"AI for Beginners","Non-technical learners, policy, public sector, educators","Elements of AI — Introduction to AI","University of Helsinki / MinnaLearn","https://www.elementsofai.com","freemium",True,False,"beginner","course","AI fundamentals; machine learning basics; AI society; AI ethics","Non-coders wanting accessible university-backed AI literacy with no maths or coding required","high",False,"","",9,"1M+ learners; 26 languages; EU government-adopted; participation badge is free; official certificate costs a small fee via University of Helsinki Open University","131; 138; 134"
"AI for Beginners","All professionals, business teams, non-developers","Generative AI for Everyone","DeepLearning.AI / Coursera","https://www.deeplearning.ai/courses/generative-ai-for-everyone/","free_audit_paid_certificate",True,False,"beginner","course","generative AI; LLMs; prompt engineering basics; business impact; AI strategy","Non-coders wanting to understand GenAI tools, limitations, and business strategy","high",True,"Coursera","Up to 45% commission, 30-day cookie",10,"Taught by Andrew Ng; ~3 hours; free to access on DeepLearning.AI directly or as Coursera audit; no coding required","104; 110; 107"
"AI for Beginners","All industries","Introduction to Artificial Intelligence (AI)","IBM / Coursera","https://www.coursera.org/learn/introduction-to-artificial-intelligence","free_audit_paid_certificate",True,False,"beginner","course","AI concepts; AI applications; AI ethics; machine learning basics","Beginners wanting an IBM-credentialed broad AI overview","high",True,"Coursera","Up to 45% commission, 30-day cookie",9,"IBM brand; ~8 hours; full content accessible on audit; certificate requires payment","18; 21; 24"
"AI for Beginners","Technical learners, developers, students","AI For Beginners — 12-Week Curriculum","Microsoft","https://github.com/microsoft/AI-For-Beginners","free",False,False,"beginner","course","neural networks; NLP; computer vision; AI history; symbolic AI","Developers or technically curious learners wanting a structured Microsoft open-source curriculum","medium",False,"","",8,"12-week open-source curriculum with 24 lessons and labs; hosted on GitHub; self-directed; no instructor support","26; 20"
"AI for Beginners","All professionals","Introduction to Generative AI","Google Cloud Skills Boost","https://www.cloudskillsboost.google/course_templates/536","free",True,True,"beginner","course","generative AI overview; LLMs; GenAI applications; Google AI tools","Busy professionals wanting a quick authoritative GenAI orientation from Google","high",False,"","",9,"~45 minutes; completion badge only, not a traditional certificate; widely cited as an excellent orientation","142; 145"
"Generative AI Basics","All professionals","Generative AI Fundamentals","Google Cloud Skills Boost","https://www.cloudskillsboost.google/course_templates/556","free",True,True,"beginner","course","generative AI fundamentals; GenAI vs traditional ML; GenAI applications","Anyone wanting a fast free understanding of GenAI from Google","high",False,"","",9,"~45 minutes; skill badge only; part of the Introduction to Generative AI learning path","142; 145"
"Generative AI Basics","Technical and non-technical professionals","Introduction to Large Language Models","Google Cloud Skills Boost","https://www.cloudskillsboost.google/course_templates/539","free",True,True,"beginner","course","LLMs; prompt tuning; LLM use cases","Anyone wanting to understand how LLMs work and how to use prompt tuning","high",False,"","",9,"~1 hour; skill badge only; authoritative Google source","142"
"Generative AI Basics","Developers, ML practitioners","Generative AI with LLMs","DeepLearning.AI + AWS / Coursera","https://www.coursera.org/learn/generative-ai-with-llms","free_audit_paid_certificate",True,False,"intermediate","course","LLM architecture; fine-tuning; deployment; RLHF; AWS Bedrock","Technical professionals wanting hands-on GenAI model architecture and deployment skills","medium",True,"Coursera","Up to 45% commission, 30-day cookie",9,"Co-created with AWS; ~16 hours; Python and ML knowledge recommended; certificate requires payment","11"
"Generative AI Basics","Developers, ML engineers","Hugging Face LLM Course","Hugging Face","https://huggingface.co/learn/llm-course/en/chapter1/1","free",False,False,"intermediate","course","LLMs; Transformers; NLP; fine-tuning; Hugging Face ecosystem","Developers wanting hands-on NLP and LLM skills using the industry-standard Transformers library","medium",False,"","",9,"Fully free; community-graded; 20-40 hours self-paced; no formal certificate","52; 55; 49"
"Generative AI Basics","All professionals","Introduction to Generative AI Learning Path","Google Cloud Skills Boost","https://www.cloudskillsboost.google/paths/118","free",True,True,"beginner","course","generative AI; LLMs; responsible AI; GenAI applications","Structured beginner pathway through Google's complete GenAI curriculum","high",False,"","",9,"~5 hours total; combines multiple short courses; badge-based, not a traditional certificate","142; 162"
"Prompt Engineering","Developers, technical professionals","ChatGPT Prompt Engineering for Developers","DeepLearning.AI + OpenAI","https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/","free",False,False,"beginner","course","prompt engineering; OpenAI API; iterative prompting; summarisation; transformation","Developers wanting best-practice prompt engineering with the OpenAI API","high",False,"","",10,"Co-created with OpenAI; taught by Andrew Ng and Isa Fulford; ~1.5 hours; 9 video lessons; OpenAI API key needed for exercises; no certificate","45"
"Prompt Engineering","All professionals","OpenAI Academy","OpenAI","https://academy.openai.com","free",True,True,"mixed","academy","prompt engineering; ChatGPT at work; advanced reasoning; data analysis with AI; market research with AI","ChatGPT users at any level wanting structured free courses directly from OpenAI","high",False,"","",10,"11 free courses including beginner to advanced prompt engineering; requires free OpenAI account; certificate format may vary by course","119; 122; 125; 39; 128"
"Prompt Engineering","All professionals","Foundations of Prompt Engineering","AWS Skill Builder","https://explore.skillbuilder.aws/learn/course/external/view/elearning/17763/foundations-of-prompt-engineering","free",False,False,"beginner","course","prompt engineering; few-shot prompting; chain of thought; advanced prompt techniques","Business professionals and developers wanting to understand structured prompt design from AWS","high",False,"","",9,"~4 hours; free with AWS Skill Builder account (free to create); no prior ML knowledge required; no formal certificate","40; 37; 161"
"Prompt Engineering","Marketers, content creators","AI Prompting for Marketing","HubSpot Academy","https://academy.hubspot.com/lessons/ai-prompting-for-marketers","free",False,False,"beginner","course","prompt engineering for marketing; content creation; AI writing tools","Marketers wanting quick practical prompt skills for content creation","high",False,"","",8,"Single lesson ~30 minutes; 100% free; no registration fee; not a full course","135"
"Prompt Engineering","All professionals","Anthropic Academy — Claude 101 and AI Fluency","Anthropic","https://anthropic.skilljar.com/","free",True,True,"beginner","academy","Claude prompting; responsible AI; AI fluency; AI limitations; practical AI use","Claude users wanting to learn practical prompting and responsible AI use with a free certificate","high",False,"","",10,"Full curriculum launched April 2026; free certificate; ~2-3 hours for Claude 101; Skilljar account needed; Claude subscription not required","32; 35; 44; 38; 41"
"AI Productivity for Knowledge Workers","All knowledge workers","Microsoft Career Essentials in Generative AI","Microsoft + LinkedIn Learning","https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin","freemium",True,False,"beginner","course","generative AI fundamentals; ethical AI; Copilot productivity; responsible AI","Office workers wanting a Microsoft-branded GenAI overview with a LinkedIn certificate","high",False,"","",9,"Requires LinkedIn Learning subscription; free via 30-day trial only; ~4-5 hours; certificate adds to LinkedIn profile","20; 26; 143"
"AI Productivity for Knowledge Workers","Knowledge workers using Microsoft 365","Get Started with Microsoft Copilot","Microsoft Learn","https://learn.microsoft.com/en-us/training/paths/copilot/","free",False,False,"beginner","course","Microsoft Copilot; productivity; Word; Excel; Outlook; Teams AI","Professionals using Microsoft 365 who want to use Copilot features effectively","high",False,"","",9,"Free on Microsoft Learn; ~2-4 hours; no subscription needed for learning content; Copilot 365 licence needed to practise the tools","26; 20"
"AI Productivity for Knowledge Workers","All professionals, educators, nonprofits","Anthropic AI Fluency: Framework and Foundations","Anthropic","https://anthropic.skilljar.com/","free",True,True,"beginner","course","AI collaboration; AI limitations; responsible AI; productivity with AI; safe AI use","Professionals wanting a foundational framework for safe and effective AI collaboration","high",False,"","",10,"Free LinkedIn-shareable certificate; ~3-4 hours; launched 2025; Skilljar account needed; addresses bias and responsible use throughout","32; 38; 44"
"AI Productivity for Knowledge Workers","UK workers, public sector, NHS, SMEs","AI Skills Boost — UK Government Programme","UK Government / Skills England / DSIT","https://www.ai.gov.uk/skills","free",True,True,"beginner","hub","AI fundamentals; AI at work; productivity with AI; responsible AI; UK workforce skills","UK adults wanting government-benchmarked AI skills with employer recognition","high",False,"","",7,"Launched January 2026; partnerships with Google, IBM, Amazon, Microsoft; 14 benchmarked courses; virtual badge; some content is vendor marketing links; useful for UK public sector audiences specifically","75; 77; 78; 84; 86; 93"
"AI Productivity for Knowledge Workers","All learners, career changers, public sector","IBM SkillsBuild — AI Courses","IBM","https://skillsbuild.org","free",True,True,"mixed","hub","AI fundamentals; data science; machine learning; cybersecurity; professional skills","Career changers and learners wanting IBM-recognised AI credentials for free","high",False,"","",9,"IBM commitment to skill 30M people globally by 2030; free micro-credentials and digital badges; cohort-based experiences have set dates; content quality varies across courses","18; 21; 24; 27; 30"
"AI for Business Leaders","Business executives, senior managers","AI for Business Leaders","University of Maryland Smith School / Coursera","https://www.coursera.org/learn/ai-for-business-leaders","free_audit_paid_certificate",True,False,"intermediate","course","predictive AI; ML for business; AI in supply chain; AI in finance; AI in HR; AI in marketing","Business leaders wanting domain-driven AI and ML application across core business functions","high",True,"Coursera","Up to 45% commission, 30-day cookie",8,"Taught by University of Maryland faculty; ~6 hours; assumes business function knowledge; certificate requires payment","63"
"AI for Business Leaders","C-suite, senior leaders, strategy teams","Transform Your Business with Microsoft AI","Microsoft Learn","https://learn.microsoft.com/en-us/training/paths/transform-your-business-with-microsoft-ai/","free",False,False,"beginner","course","AI strategy; AI adoption; responsible AI; AI planning; AI scaling","Executives needing a clear AI strategy and adoption framework","high",False,"","",9,"Free; 4-module track; ~2-4 hours; primarily Microsoft/Copilot ecosystem framing","26; 20"
"AI for Business Leaders","Middle and senior managers","AI for Managers","Microsoft Learn","https://learn.microsoft.com/en-us/training/modules/ai-for-managers/","free",False,False,"beginner","course","AI in management; responsible AI; coaching with AI; AI for team leadership","Managers wanting to apply GenAI to coaching, management, and leadership","high",False,"","",8,"Free Microsoft module; ~1-2 hours; module-level content, not a full course; Microsoft ecosystem focus","20; 26"
"AI for Business Leaders","Business leaders, policy makers, strategists","Generative AI: Impact, Considerations, and Ethical Issues","MIT / edX","https://www.edx.org/learn/artificial-intelligence/massachusetts-institute-of-technology-generative-ai-impact-considerations-and-ethical-issues","free_audit_paid_certificate",True,False,"beginner","course","AI strategy; AI ethics; societal impact; business AI; governance","Leaders wanting to understand AI's strategic and ethical dimensions from an MIT perspective","high",True,"edX","Up to 10% commission, 60-day cookie",10,"MIT credibility; ~8-12 hours; free to audit; edX audit restricts graded exercises; certificate requires payment","6; 9; 97"
"AI for Business Leaders","C-suite, directors, business decision makers","AWS Generative AI Learning Plan for Decision Makers","AWS Skill Builder","https://explore.skillbuilder.aws/learn/learning_plan/view/1909/generative-ai-learning-plan-for-decision-makers","free",True,True,"beginner","course","GenAI strategy; AI governance; AI use cases; cloud AI; organisational AI adoption","Business leaders wanting to understand how GenAI can be applied across their organisation","high",False,"","",9,"Free; ~3-4 hours; no technical knowledge required; digital badge; requires free AWS Skill Builder account","37; 40; 161"
"AI for HR / Recruitment / People Teams","HR practitioners, people managers","Generative AI in HR — Impact and Application","Board Infinity / Coursera","https://www.coursera.org/learn/generative-ai-in-hr","free_audit_paid_certificate",True,False,"beginner","course","AI in recruitment; AI bias and fairness; HR data privacy; employee engagement AI; GenAI for HR workflows","HR professionals wanting practical GenAI applications for recruitment, training, and engagement","high",True,"Coursera","Up to 45% commission, 30-day cookie",7,"18000+ enrolled; ~4-6 hours; not from a top-tier university but HR-specific and well-structured; certificate requires payment","70; 67"
"AI for HR / Recruitment / People Teams","HR professionals","Artificial Intelligence and HR","Oxford Home Study Centre (OHSC)","https://www.oxfordhomestudy.com/courses/ai-courses-online/artificial-intelligence-and-hr","free",True,True,"beginner","course","AI in recruitment; AI for onboarding; AI performance management; HR automation","HR professionals wanting a genuinely free certificate course in AI for HR","high",False,"","",6,"Free including certificate; CPD-accredited option available; OHSC is not a university — certificate has limited market recognition compared to Coursera or IBM","61"
"AI for Marketing / Content","Marketers, content creators, social media managers","AI for Marketing","HubSpot Academy","https://academy.hubspot.com/courses/AI-for-Marketers","free",True,True,"beginner","course","AI for campaigns; AI content creation; AI for SEO; AI personalisation; marketing analytics AI","Marketers wanting practical AI skills with a free widely recognised certificate","high",False,"","",9,"100% free including certificate; ~2-3 hours; HubSpot-centric toolset examples; certificate has strong market recognition in marketing roles","71; 133; 137"
"AI for Marketing / Content","Digital marketers, content creators","Master AI for Digital Marketing and Content Creation","LearnKartS / Coursera","https://www.coursera.org/learn/ai-digital-marketing-content-creation","free_audit_paid_certificate",True,False,"beginner","course","AI content creation; ChatGPT for marketing; prompt engineering for SEO; AI email marketing; AI blog writing","Marketers wanting hands-on AI content creation skills with ChatGPT and prompt engineering","high",True,"Coursera","Up to 45% commission, 30-day cookie",7,"~8-12 hours; includes Chain of Thought prompting; practical and beginner-friendly; certificate requires payment","73"
"AI for Marketing / Content","All professionals","OpenAI Academy — ChatGPT at Work","OpenAI","https://academy.openai.com/home/collections/chatgpt-at-work-2025-02-14","free",True,True,"beginner","course","ChatGPT for content creation; AI market research; AI writing assistance; AI data analysis; workplace AI tools","Content creators and marketers wanting to use ChatGPT effectively in daily work","high",False,"","",10,"Free from OpenAI; includes market research with ChatGPT, writing assistance, data analysis; ~5-8 hours; requires OpenAI account","39; 119; 122"
"AI for Sales / Customer Teams","Sales professionals, sales leaders, SDRs","AI Sales Training Courses","Salesforce Trailhead","https://www.salesforce.com/sales/ai/ai-sales-training-courses/","free",True,True,"beginner","course","AI-powered CRM; AI prospecting; Agentforce; sales automation; Sales Coach AI","Sales teams wanting free practical training on AI-powered CRM and prospecting tools","high",False,"","",8,"Free via Salesforce Trailhead; Trailhead badge not a traditional certificate; most relevant for Salesforce CRM users; ~2-4 hours","106; 109; 115"
"AI for Sales / Customer Teams","Sales and marketing professionals","Artificial Intelligence in Sales and Marketing","Oxford Home Study Centre (OHSC)","https://www.oxfordhomestudy.com/courses/ai-courses-online/artificial-intelligence-in-sales-and-marketing","free",True,True,"beginner","course","AI in sales; AI forecasting; predictive analytics; customer targeting; AI in marketing","Sales teams wanting a free accessible introduction to AI in sales and customer engagement","high",False,"","",6,"Genuinely free including certificate; self-paced; OHSC is not a university — limited professional recognition","103"
"AI for Finance / Operations / Admin","Finance professionals, FP&A, analysts","Introduction to Generative AI in Finance","Shashank Vailaya / Coursera","https://www.coursera.org/learn/introduction-to-generative-ai-in-finance","free_audit_paid_certificate",True,False,"beginner","course","AI in finance; market risk AI; AI forecasting; financial products AI; fintech GenAI","Finance teams wanting to understand how GenAI transforms financial services and analysis","high",True,"Coursera","Up to 45% commission, 30-day cookie",7,"10000+ enrolled; ~4-6 hours; well-structured for finance context; certificate requires payment","111"
"AI for Finance / Operations / Admin","Finance professionals, accountants, auditors, CFOs","AI for Finance and Accounting","FreeAcademy.ai","https://freeacademy.ai","free",True,True,"beginner","course","AI in accounting; fraud detection AI; AI financial analysis; AI-powered bookkeeping; CFO AI tools","Finance and accounting professionals wanting AI training purpose-built for their role","high",False,"","",6,"Free certificate; ~10-15 hours; newer platform with less institutional credibility than IBM or Coursera; verify content quality on provider page","102"
"AI for Developers / Builders","Software engineers, AI builders","Anthropic Academy — Building with the Claude API","Anthropic","https://anthropic.skilljar.com/","free",True,True,"intermediate","academy","Claude API; RAG pipelines; tool calling; streaming; production AI apps","Developers building production AI applications using Anthropic's Claude","high",False,"","",10,"Free certificate; ~4-5 hours; Claude API access needed to practise; Skilljar account required","32; 41; 44"
"AI for Developers / Builders","Developers, ML engineers","Hugging Face AI Agents Course","Hugging Face","https://huggingface.co/learn/agents-course","free",True,True,"intermediate","course","AI agents; smol-agents; LangGraph; LlamaIndex; agentic workflows","Developers wanting to build AI agents using modern agentic frameworks","medium",False,"","",9,"Fully free; community-graded; ~20-30 hours; Hugging Face Spaces for hands-on practice; no formal institution backing","52; 99"
"AI for Developers / Builders","Developers, cloud engineers","AWS Generative AI Learning Plan for Developers","AWS Skill Builder","https://explore.skillbuilder.aws/learn/learning_plan/view/1908/generative-ai-learning-plan-for-developers","free",True,True,"intermediate","course","AWS Bedrock; SageMaker; LLM integration; GenAI app development; prompt engineering for developers","Developers building GenAI applications on AWS","high",False,"","",9,"Free; ~10-15 hours; digital badge; AWS-platform specific; requires free Skill Builder account","40; 37; 161"
"AI for Developers / Builders","Students, early-career developers","CS50's Introduction to Artificial Intelligence with Python","Harvard / edX","https://cs50.harvard.edu/ai","free_audit_paid_certificate",True,False,"intermediate","course","machine learning; neural networks; NLP; search algorithms; knowledge representation; Python AI","Aspiring AI engineers wanting a rigorous Harvard-quality AI foundations course","high",True,"edX","Up to 10% commission, 60-day cookie",10,"Free via Harvard OpenCourseWare at cs50.harvard.edu/ai; certificate via edX requires payment; ~7 weeks; Python knowledge needed","48; 51; 126"
"AI for Developers / Builders","Developers, ML engineers","DeepLearning.AI Short Courses Library","DeepLearning.AI","https://www.deeplearning.ai/short-courses/","free",False,False,"mixed","academy","RAG; AI agents; LangChain; fine-tuning; multimodal AI; Anthropic API; OpenAI API; prompt engineering","Developers wanting modular focused GenAI skills from 50+ industry-partnered short courses","high",False,"","",10,"50+ free short courses; no credit card required; built with OpenAI, Anthropic, AWS, LangChain, Hugging Face; ~1-2 hours each; no certificate","7; 45"
"AI for Developers / Builders","Students, developers, researchers","MIT OpenCourseWare — Introduction to Machine Learning (6.036)","MIT","https://ocw.mit.edu/courses/6-036-introduction-to-machine-learning-fall-2020/","free",False,False,"advanced","course","machine learning theory; deep learning; classification; regression; reinforcement learning","Technical learners wanting rigorous ML foundations directly from MIT","medium",False,"","",10,"Free forever; no registration needed; full lecture notes, labs, assignments; self-directed; no instructor or certificate","90; 95; 97"
"AI for Developers / Builders","Developers, data scientists, researchers","Stanford CS229: Machine Learning","Stanford University","https://cs229.stanford.edu/","free",False,False,"advanced","course","supervised learning; unsupervised learning; deep learning; reinforcement learning; ML theory","Technically advanced learners wanting Stanford-quality ML theory taught by Andrew Ng","medium",False,"","",10,"Free lectures on YouTube and Stanford Online channel; requires maths and statistics background; no certificate for free version; full semester course","47; 50; 53"
"AI for Developers / Builders","Data scientists, developers, students","Kaggle Learn — AI and Machine Learning Courses","Kaggle (Google)","https://www.kaggle.com/learn","free",True,True,"mixed","hub","machine learning; Python; deep learning; NLP; data visualisation; feature engineering","Hands-on learners wanting immediate practice with real datasets and free certificates","high",False,"","",9,"Fully free including certificates; Kaggle notebook environment included; strong data science community recognition; each micro-course takes a few hours","89; 91; 94; 96"
"Responsible AI / Ethics / AI Safety","Business leaders, policy makers, all professionals","Responsible AI: Applying AI Principles with Google Cloud","Google Cloud / Coursera","https://www.coursera.org/learn/responsible-ai-applying-ai-principles-with-google-cloud","free_audit_paid_certificate",True,False,"beginner","course","Google AI principles; responsible AI frameworks; AI governance; business case for responsible AI","Professionals wanting to understand and apply responsible AI frameworks organisationally","high",True,"Coursera","Up to 45% commission, 30-day cookie",9,"40000+ enrolled; ~3-4 hours; covers Google's 7 AI principles; certificate requires payment; Google-ecosystem framing","82"
"Responsible AI / Ethics / AI Safety","All professionals","Introduction to Responsible AI","Google Cloud Skills Boost","https://www.cloudskillsboost.google/course_templates/554","free",True,True,"beginner","course","responsible AI principles; AI fairness; AI transparency; AI accountability","Quick authoritative introduction to responsible AI principles from Google","high",False,"","",9,"~30 minutes; skill badge only; very introductory; covers Google's 7 AI principles with real-world examples","142; 82"
"Responsible AI / Ethics / AI Safety","Business leaders, policy, governance teams","Embrace Responsible AI Principles and Practices","Microsoft Learn","https://learn.microsoft.com/en-us/training/modules/embrace-responsible-ai-principles-practices/","free",False,False,"beginner","course","Microsoft responsible AI; AI governance; AI safety; fairness; reliability; inclusivity","Organisations designing AI governance policies and safeguards","high",False,"","",9,"Free; ~1-2 hours; covers Microsoft's 6 responsible AI principles; module-level content; Microsoft framing","74; 85"
"Responsible AI / Ethics / AI Safety","HR, business leaders, policy makers","Generative AI: Labor and the Future of Work","Merve Hickok / Coursera","https://www.coursera.org/learn/generative-ai-labor-and-the-future-of-work","free_audit_paid_certificate",True,False,"beginner","course","AI labour market impact; job displacement; AI governance; responsible GenAI; worker wellbeing","Professionals exploring AI's ethical and labour market implications","high",True,"Coursera","Up to 45% commission, 30-day cookie",8,"Part of Responsible Generative AI Specialisation; ~4-6 hours; covers job displacement and AI governance; certificate requires payment","83"
"AI and the Future of Work / Labour Market Impact","UK workers, public sector employees","AI Skills Boost — UK Government Programme","UK Government / DSIT / Skills England","https://www.gov.uk/government/news/free-ai-training-for-all","free",True,True,"beginner","hub","AI at work; future of work; workforce AI readiness; AI upskilling UK; public sector AI","UK adults concerned about AI's impact on their careers who want government-backed skills","high",False,"","",7,"Launched January 2026; addresses AI-driven workforce change; virtual badge; some content is vendor-driven; platform still maturing","77; 78; 84; 86"
"AI and the Future of Work / Labour Market Impact","Policy, HR, educators, general learners","AI and the Future of Skills — FutureLearn Collection","FutureLearn","https://www.futurelearn.com/subjects/it-and-computer-science-courses/artificial-intelligence","freemium",True,False,"beginner","hub","AI and society; future of work; AI skills; AI impact on jobs","Learners wanting a broader lens on AI's societal and economic impact through university-level courses","high",False,"","",7,"FutureLearn aggregates university-level courses; free access available but with limited time window; paid digital upgrade needed for certificate; specific course availability varies","118; 124; 127"
